Time,AT_CPU_USAGE,AT_MEMORY_USAGE
115.0,0.3,10.2
115.5,1.0,10.2
116.0,0.0,10.2
116.5,0.7,10.2
117.0,0.3,10.2
117.5,0.7,10.2
118.0,0.3,10.2
118.5,0.3,10.2
119.0,0.7,10.2
119.5,0.0,10.2
120.0,0.3,10.2
120.5,0.5,10.2
121.0,0.5,10.2
121.5,0.3,10.2
122.0,0.3,10.2
122.5,0.3,10.2
123.0,0.3,10.2
123.5,0.5,10.2
124.0,0.0,10.2
124.5,0.3,10.2
125.0,0.3,10.2
125.5,0.3,10.2
126.0,0.3,10.2
126.5,0.3,10.2
127.0,0.5,10.2
127.5,0.5,10.2
128.0,0.5,10.2
128.5,0.2,10.2
129.0,0.3,10.2
129.5,0.3,10.2
130.0,0.3,10.2
130.5,0.3,10.2
131.0,0.2,10.2
131.5,0.3,10.2
132.0,0.5,10.2
132.5,0.5,10.2
133.0,0.0,10.2
133.5,0.5,10.2
134.0,0.0,10.2
134.5,0.5,10.2
135.0,1.0,10.2
135.5,0.3,10.2
136.0,0.3,10.2
136.5,0.5,10.2
137.0,0.3,10.2
137.5,0.3,10.2
138.0,0.3,10.2
138.5,0.5,10.2
139.0,0.7,10.2
139.5,0.2,10.2
140.0,0.3,10.2
140.5,0.5,10.2
141.0,0.3,10.2
141.5,0.0,10.2
142.0,0.3,10.2
142.5,0.2,10.2
143.0,0.5,10.2
143.5,0.3,10.2
144.0,0.3,10.2
144.5,0.5,10.2
145.0,0.0,10.2
145.5,0.5,10.2
146.0,0.8,10.3
146.5,0.0,10.3
147.0,0.5,10.3
147.5,0.3,10.3
148.0,0.3,10.3
148.5,0.3,10.3
149.0,0.3,10.3
149.5,1.0,10.3
150.0,0.7,10.3
